"","variable","estimate"
"183","Vehicle.StyleConvertible:Popularity",-1.03139744599734e-05
"184","Vehicle.StyleCoupe:Popularity",-2.03980930683437e-05
"185","Vehicle.StyleCrew Cab Pickup:Popularity",3.7927816707328e-06
"186","Vehicle.StylePassenger Minivan:Popularity",7.19510422982371e-06
"187","Vehicle.StylePassenger Van:Popularity",2.62685727557647e-05
"188","Vehicle.StyleRegular Cab Pickup:Popularity",8.85891368403704e-06
"189","Vehicle.StyleSedan:Popularity",-5.59158376522017e-07
"190","Vehicle.Style4dr SUV:Engine.HP.Clean",0.000515478126071514
"191","Vehicle.StyleExtended Cab Pickup:Engine.HP.Clean",-0.000117067720690715
"192","Vehicle.Style2dr SUV:Engine.Cylinders.Clean4",0.000941663696064311
"193","Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean4",0.0559337270867885
"194","Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean4",0.00688636554011073
"195","Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean4",0.062608926645101
"196","Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean4",-0.0313485087824775
"197","Vehicle.StyleSedan:Engine.Cylinders.Clean4",-0.0210387601776612
"198","Vehicle.StyleWagon:Engine.Cylinders.Clean4",-0.0149549892775403
"199","Vehicle.Style4dr Hatchback:Engine.Cylinders.Clean5",-0.0381412780463529
"200","Vehicle.Style4dr SUV:Engine.Cylinders.Clean5",0.0905817194842795
"201","Vehicle.StyleConvertible:Engine.Cylinders.Clean5",0.0440866144986034
"202","Vehicle.StyleCoupe:Engine.Cylinders.Clean5",0.131254034655361
"203","Vehicle.StyleSedan:Engine.Cylinders.Clean5",0.0274195640167919
"204","Vehicle.Style4dr SUV:Engine.Cylinders.Clean6",-0.00542139085587831
"205","Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean6",-0.047365549739322
"206","Vehicle.StyleConvertible:Engine.Cylinders.Clean6",0.0143035358088179
"207","Vehicle.StyleCoupe:Engine.Cylinders.Clean6",0.0123480084182749
"208","Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean6",-0.00133887752304019
"209","Vehicle.StyleWagon:Engine.Cylinders.Clean6",0.000403871610899574
"210","Vehicle.Style4dr SUV:Engine.Cylinders.Clean8",0.125927923632091
"211","Vehicle.StyleConvertible:Engine.Cylinders.Clean8",0.152369210083176
"212","Vehicle.StyleCoupe:Engine.Cylinders.Clean8",0.180841382031755
"213","Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean8",-0.0683749162578067
"214","Vehicle.StylePassenger Van:Engine.Cylinders.Clean8",0.0743010066173886
"215","Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean8",-0.0746436892013821
"216","Vehicle.StyleSedan:Engine.Cylinders.Clean8",0.0968013150909308
"217","Vehicle.StyleWagon:Engine.Cylinders.Clean8",-0.0530739872406911
"218","Vehicle.StyleCoupe:Engine.Cylinders.Clean10",0.00017509271904871
"219","Vehicle.StyleSedan:Engine.Cylinders.Clean12",0.00727890662657182
